user_input,columns
what are my errors?,"error,error.type,error.msg,sqs.error,error.cause_chain,email,target,code.lineno,latency,id,name,http.url,transaction.id,code.namespace,type,duration_ms,provider,account.id,service.name,http.method,operation,busy_ns,idle_ns,status_code,library.name,http.host,classification,invitation_id,thread.id,thread.name,library.version,code.filepath,customer.payment.outbound.missing_in_internal,level,parent_name,adapter.payment.missing_in_internal,net.host.port,service.version,span.kind,organisation.id,http.scheme,sqs.outcome,internal_account.id,organisation_id,http.path,http.user_agent,http.status_code,trace.parent_id,span.num_events,sns.topic,http.route"
what are my errors?,"error,error.message,error.type,error.msg,error.cause_chain,email,target,code.lineno,latency,id,name,http.url,transaction.id,client_reference,code.namespace,type,duration_ms,provider,account.id,internal.payment.missing_in_adapter,service.name,http.method,operation,busy_ns,idle_ns,status_code,library.name,http.host,classification,invitation_id,thread.id,entity_type,thread.name,library.version,code.filepath,customer.payment.outbound.missing_in_internal,level,claim_id,parent_name,adapter.payment.missing_in_internal,net.host.port,service.version,span.kind,organisation.id,http.scheme,sqs.outcome,internal_account.id,organisation_id,http.path,http.user_agent,trace.parent_id,http.status_code,http.route"
all traces names CreateActivity where trace.parent_id is either d6ce473242432233 or 1cf15a7b4bb730c4,"trace.trace_id,trace.parent_id,trace.span_id,log.stacktrace,log.state.TraceIdentifier,parent_name,exception.stacktrace,workflow.id,event.action.details,event.details.code_id,dispatcher.requestsByReporter 1,process.pid,process.runtime.name,db.name,log.state.UseCaseName,dispatcher.reporterUserDepartment 1,dispatcher.matchedReporter 1,dispatcher.reporters 1,event.id,event.action,realm.id,workflow.mainAggregateId,log.state.1_property,messaging.masstransit.message_id,messaging.masstransit.correlation_id,aggregate.id,correlation_id,event.details.token_id,spot.id,attachment:id.aggregate,http.long_running,event.details.identity_provider_identity,event.details.remember_me,exception.data.helplink.evtsrc,service.instance.id,process.runtime.description,referenceType:id.aggregate,ds.safir.status.SAFIRPROD,requestId,event.details.email,messaging.masstransit.saga_id,reference:id.aggregate,event.category,log.state.CorrelationId,request.id.lookup,messaging.conversation_id,messaging.masstransit.request_id,log.state.database,event.details.scope,log.state.2_entityType,service.name,http.status_code,exception.message,error,duration_ms,http.route,db.statement,name,event.details.redirect_uri"
slow requests,"sli_route_latency_1500,duration_ms,queueSize,sli_route_latency,cachesize,requestID,discount,dropped,http.url,http.method,net.transport,error,orderid,http.target,rpc.method,http.route,http.request_content_length,ip,service.version,rpc.service,active_threads,success,currency,Context Keys,pending_pool,pool,name,message.type,area,http.host,host.name,thread.id,grpc.kind,service.name,runtime.jvm.memory.pool,host.arch,rpc.user_agent,rpc.system,runtime.jvm.gc.time,method,http.scheme,type,http.flavor,span.kind,itemCount,db.name,context_keys,thread.name,library.version,gc,db.statement,parent_name,trace.parent_id,http.status_code,service_name,exception.message"
grants,"host,port,error,gcp_token_scope,name,graphql.request.query,group.id,resource_id,resource_ids,span.kind,type,net.transport,duration_ms,phoenix.plug,rpc.service,phoenix.action,user_id,gcp_token_provider,rpc.system,event_id,http.target,http.route,gcp_token_type,parent_name,gs.object.bucket,rpc.method,service.name,gcp_token_sub,session_id,request_id,http.url,graphql.response.errors,gs.object.url,http.flavor,graphql.request.operation,ios_bundle_id,status_message,error_reason,http.method,http.scheme,messaging.system,status_code,http.host,rpc.grpc.message,url_prefix,net.host.ip,dynamic_link_route,trace.parent_id,net.peer.port,net.peer.name,exception.message,http.status_code"
slow requests,"duration_ms,http.response_content_length_uncompressed,http.url,http.method,net.transport,http.request_content_length_uncompressed,http.target,db.operation,tls.protocol,name,http.host,service.name,db.system,db.user,tls.authorized,http.scheme,type,http.flavor,span.kind,db.name,library.version,db.statement,status_code,net.host.port,process.command,net.host.ip,peer.ipv4,library.name,net.peer.port,http.status_code,db.sql.table,process.owner,http.user_agent,net.host.name,process.pid,tls.alpnProtocol,span.num_links,net.peer.name,trace.trace_id,db.connection_string,tls.cipher.version,http.status_text,trace.span_id,process.runtime.version,net.peer.ip,meta.signal_type,tls.cipher.name,span.num_events,process.runtime.description,process.command_args,service_name,trace.parent_id,http.route"
"find me where run.name is master-release, and within master-release job.name=run-jest-tests-jest-done finished after job.name=build.app","job.runner_name,job.runner_group_name,job.run_url,job.matrix-name,job.runner_id,run.id,sli.workflow.master_release_duration,job.status,job.name,run.name,run.release,sli.workflow.master_path_to_production,run.conclusion,run.run_number,job.labels,sli.job.has_reran,matrix.jest.count,run.url,workflow.name,sli_master_path_to_production,pr.jira-ticket,workflow.run_id,job.html_url,sli.run.has_reran,job.conclusion,run.head_branch,pr.labels.cypress-dashboard,workflow.run_number,job.run_attempt,run.head_commit,run.workflow_id,run.head_sha,run.run_attempt,name,service.name,pr.title,run.html_url,workflow.run_html_url,step.name,pr.labels.tribe,pr.id,pr.labels.squad,matrix.cypress.groups.updated-specs.count,change-impact.pages.list,wait.for,matrix.cypress.count,pr.labels,change-impact.pages.count,step.status,trace.parent_id,duration_ms,http.route"
cluster_name = plan-sok-sato-project,"name,status_code,http.route,service.name,parent_name,exception.message,trace.parent_id,error,duration_ms"
show all requests with route /v1/internal/ach/entries and latency more than 60 seconds,"ach.pw.query_time.end,ach.pw.query_time.start,duration_ms,ach.pw.completed,ach.pw.records.count,http.route,ach.pw.started,aws.queue.url,exception.stacktrace,http.response_content_length,rpc.method,http.request_content_length,http.method,service.namespace,trace.trace_id,ach.payment.entry_status,http.url,rpc.service,eventCount,trace.span_id,status_code,rpc.system,net.transport,span.num_events,ach.pw.processing_id,loopCount,process.command_line,host.arch,telemetry.instrumentation_library,event,count,code.namespace,service.name,http.status_code,error,host.type,status,db.operation,span.kind,cloud.availability_zone,ach.payment.source,exception.type,db.system,ach.payment.amount,telemetry.sdk.language,ach.payment.direction,net.sock.host.port,span.num_links,net.host.name,exception.message,parent_name,trace.parent_id,name,db.statement"
request response,"requestID,http.method,http.url,rpc.method,http.route,message.type,http.status_code,orderid,process.command,rpc.service,http.request_content_length,success,status_code,service.version,status_message,http.host,rpc.system,rpc.user_agent,ip,net.transport,method,http.target,error,discount,name,http.user_agent,queueSize,host.name,service.name,productid,area,duration_ms,itemCount,process.command_line,currency,message.id,http.flavor,context_keys,type,http.scheme,os.type,Context Keys,process.pid,chargeTotal,parent_name,host.arch,thread.id,trace.trace_id,userid,http.server_name,trace.parent_id,db.statement,service_name,exception.message"
what are my errors?,"response-errors,error,error_message,error-message,error_developer_message,error_code,error_body,exception.message,reasons,send_single_message_error,versions,exception.type,thread_dump,play_integrity_error_code,Successful requests,email,methods,job,prefixes,sender,rules,alias,num-pending-requests,success,existing_nodes,xrates:missed_by_provider,cause,fee_rejected,known-conflicting-txs,exception.stacktrace,tx,known-conflicting-txids,processor,user,session,funder:num-utxos-failed-to-be-leased,result,config_updated,matches_rules,execution_unit,currencies,variant,num-active-connections,num-requests,name,http.url,current_state,first_integrity_report,receiver,inactive_nodes,parent_name,db.statement,service.name,duration_ms,trace.parent_id,http.status_code"
